Real Estate,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,XP - PORD11,63.00,R$81.00,"R$5,103.00","R$5,159.70",-R$56.70,-1.1%,,18/05/2023,XP - BCFF11,"R$5,173.50",600.00,R$8.62,,XP - BCFF11,FDO INV IMOB BTG PACTUAL FUNDO DE FUNDOS OF (BVMF:BCFF11),R$7.35,,,,,,
,XP - XPML11,44.00,R$110.79,"R$4,874.76","R$5,104.00",-R$229.24,-4.5%,,24/05/2023,XP - HGLG11,"-R$2,071.42",-13.00,R$159.34,,XP - XPML11,XP MALLS FDO INV IMOB FII ETF (BVMF:XPML11),R$110.79,,,,,,
,XP - KCRE11,52.00,R$89.80,"R$4,669.60","R$5,070.00",-R$400.40,-7.9%,,02/06/2023,XP - HGLG11,"R$2,024.10",13.00,R$155.70,,XP - KCRE11,KINEA CREDITAS FII CF (BVMF:KCRE11),R$89.80,,,,,,
,Total,,,"R$44,547.14","R$46,688.88","-R$2,141.74",-4.6%,,16/06/2023,XP - HGLG11,"R$4,359.60",29.00,R$155.70,,,,,,,,,,
,,,,,,,,,03/05/2024,XP - XPML11,"R$5,104.00",44.00,R$116.00,,,,,,,,,,
,,,,,,,,,03/05/2024,XP - KCRE11,"R$5,070.00",52.00,R$97.50,,,,,,,,,,
,,,,,,,,,16/08/2024,XP - BCFF11,R$440.00,53.00,R$8.30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,AirBnb,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Edifício Zara,,Total,"R$92,562.52",20.8%,,Ledger,,,,,,,,,,,,,,,,
,Month,Costs,Revenue,Profit/Loss,% ROI,,Month/Year,Costs,Revenue,,,,,,,,,,,,,,
,Aug-23,R$524.43,R$0.00,-R$524.43,-0.1%,,Aug-23,R$524.43,,,,,,,,,,,,,,,
,Sep-23,R$553.10,R$0.00,-R$553.10,-0.1%,,Sep-23,R$553.10,,,,,,,,,,,,,,,
,Oct-23,R$524.43,R$0.00,-R$524.43,-0.1%,,Oct-23,R$524.43,,,,,,,,,,,,,,,
,Nov-23,R$588.70,R$0.00,-R$588.70,-0.1%,,Nov-23,R$588.70,,,,,,,,,,,,,,,
,Dec-23,R$603.00,R$0.00,-R$603.00,-0.1%,,Dec-23,R$603.00,,,,,,,,,,,,,,,
,Jan-24,"R$2,695.22","R$6,134.92","R$3,439.70",0.8%,,Jan-24,"R$2,695.22","R$6,134.92",,,,,,,,,,,,,,
,Feb-24,R$570.00,"R$10,602.11","R$10,032.11",2.3%,,Feb-24,R$570.00,"R$10,602.11",,,,,,,,,,,,,,
,Mar-24,"R$2,616.14","R$7,056.90","R$4,440.76",1.0%,,Mar-24,"R$2,616.14","R$7,056.90",,,,,,,,,,,,,,
,Apr-24,"R$1,218.06","R$5,463.41","R$4,245.35",1.0%,,Apr-24,"R$1,218.06","R$5,463.41",,,,,,,,,,,,,,
,May-24,"R$1,419.03","R$4,399.68","R$2,980.65",0.7%,,May-24,"R$1,419.03","R$4,399.68",,,,,,,,,,,,,,
,Jun-24,R$651.85,R$875.00,R$223.15,0.1%,,Jun-24,R$651.85,R$875.00,,,,,,,,,,,,,,
,Jul-24,"R$2,817.71","R$4,820.56","R$2,002.85",0.5%,,Jul-24,"R$2,817.71","R$4,820.56",,,,,,,,,,,,,,
,Aug-24,"R$1,855.48","R$4,978.81","R$3,123.33",0.7%,,Aug-24,"R$1,855.48","R$4,978.81",,,,,,,,,,,,,,
,Sep-24,"R$1,809.75","R$2,619.50",R$809.75,0.2%,,Sep-24,"R$1,809.75","R$2,619.50",,,,,,,,,,,,,,
,Oct-24,"R$1,468.10","R$5,862.49","R$4,394.39",1.0%,,Oct-24,"R$1,468.10","R$5,862.49",,,,,,,,,,,,,,
,Nov-24,"R$1,193.12","R$3,639.18","R$2,446.06",0.6%,,Nov-24,"R$1,193.12","R$3,639.18",,,,,,,,,,,,,,
,Dec-24,"R$1,510.22","R$4,168.91","R$2,658.69",0.6%,,Dec-24,"R$1,510.22","R$4,168.91",,,,,,,,,,,,,,
,Jan-25,"R$3,247.26","R$7,798.48","R$4,551.22",1.0%,,Jan-25,"R$3,247.26","R$7,798.48",,,,,,,,,,,,,,
,Feb-25,"R$1,284.19","R$9,305.36","R$8,021.17",1.8%,,Feb-25,"R$1,284.19","R$9,305.36",,,,,,,,,,,,,,
,Mar-25,"R$1,781.93","R$7,981.86","R$6,199.93",1.4%,,Mar-25,"R$1,781.93","R$7,981.86",,,,,,,,,,,,,,
,Apr-25,"R$1,303.50","R$5,695.43","R$4,391.93",1.0%,,Apr-25,"R$1,303.50","R$5,695.43",,,,,,,,,,,,,,
,May-25,"R$1,683.47","R$6,528.87","R$4,845.40",1.1%,,May-25,"R$1,683.47","R$6,528.87",,,,,,,,,,,,,,
,Jun-25,"R$1,088.28","R$4,865.28","R$3,777.00",0.9%,,Jun-25,"R$1,088.28","R$4,865.28",,,,,,,,,,,,,,
,Jul-25,"R$1,769.59","R$4,757.44","R$2,987.85",0.7%,,Jul-25,"R$1,769.59","R$4,757.44",,,,,,,,,,,,,,
,Aug-25,"R$2,114.47","R$3,045.11",R$930.64,0.2%,,Aug-25,"R$2,114.47","R$3,045.11",,,,,,,,,,,,,,
,Sep-25,"R$1,002.01","R$5,740.00","R$4,737.99",1.1%,,Sep-25,"R$1,002.01","R$5,740.00",,,,,,,,,,,,,,
,Oct-25,"R$1,060.15","R$5,740.00","R$4,679.85",1.1%,,Oct-25,"R$1,060.15","R$5,740.00",,,,,,,,,,,,,,
,Nov-25,"R$1,059.93","R$5,740.00","R$4,680.07",1.1%,,Nov-25,"R$1,059.93","R$5,740.00",,,,,,,,,,,,,,
,Dec-25,R$873.67,"R$5,630.01","R$4,756.34",1.1%,,Dec-25,R$873.67,"R$5,630.01",,,,,,,,,,,,,,
,Jan-26,"R$3,421.70","R$6,740.00","R$3,318.30",0.7%,,Jan-26,"R$3,421.70","R$6,740.00",,,,,,,,,,,,,,
,Feb-26,"R$1,108.25","R$7,518.00","R$6,409.75",1.4%,,Feb-26,"R$1,108.25","R$7,518.00",,,,,,,,,,,,,,
,Mar-26,R$0.00,R$0.00,R$0.00,0.0%,,Mar-26,,,,,,,,,,,,,,,,
,Apr-26,R$0.00,R$0.00,R$0.00,0.0%,,Apr-26,,,,,,,,,,,,,,,,
,May-26,R$0.00,R$0.00,R$0.00,0.0%,,May-26,,,,,,,,,,,,,,,,
,Jun-26,R$0.00,R$0.00,R$0.00,0.0%,,Jun-26,,,,,,,,,,,,,,,,
,Jul-26,R$0.00,R$0.00,R$0.00,0.0%,,Jul-26,,,,,,,,,,,,,,,,
,Aug-26,R$0.00,R$0.00,R$0.00,0.0%,,Aug-26,,,,,,,,,,,,,,,,
,Sep-26,R$0.00,R$0.00,R$0.00,0.0%,,Sep-26,,,,,,,,,,,,,,,,
,Oct-26,R$0.00,R$0.00,R$0.00,0.0%,,Oct-26,,,,,,,,,,,,,,,,
,Nov-26,R$0.00,R$0.00,R$0.00,0.0%,,Nov-26,,,,,,,,,,,,,,,,
,Dec-26,R$0.00,R$0.00,R$0.00,0.0%,,Dec-26,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Ink Court,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total," £102,337.78 "," £3,843.51 "," £14,662.93 ",3.3%,,,,,,,,,,,,,,,,,,
,Month/Year,Costs,Principal,Interest,Source,,Description,Values,,,,,,,,,,,,,,,
,Mar-25, £325.00 ,,,Tinsdills Solicitors,,Property Value," £600,000.00 ",,,,,,,,,,,,,,,
,May-25, £499.00 ,,,L&G Home Survey,,Deposit," £60,000.00 ",,,,,,,,,,,,,,,
,Jun-25," £60,000.00 ",,,Deposit,,Mortgage," £541,000.00 ",,,,,,,,,,,,,,,
,Jun-25," £20,000.00 ",,,Stamp Duty,,Duration (Months),408,,,,,,,,,,,,,,,
,Jun-25," £3,007.34 ",,,Tinsdills + Management Fees,,Total Principal Paid," £3,843.51 ",,,,,,,,,,,,,,,
,Jul-25," £2,930.26 ", £523.78 ," £2,406.48 ",Mortgage,,Left To Pay," £537,155.49 ",,,,,,,,,,,,,,,
,Aug-25," £2,596.03 ", £525.79 ," £2,070.24 ",Mortgage,,,,,,,,,,,,,,,,,,
,Sep-25," £2,596.03 ", £594.52 ," £2,001.51 ",Mortgage,,,,,,,,,,,,,,,,,,
,Oct-25," £2,596.03 ", £530.08 ," £2,065.95 ",Mortgage,,,,,,,,,,,,,,,,,,
,Nov-25," £2,596.03 ", £598.56 ," £1,997.47 ",Mortgage,,,,,,,,,,,,,,,,,,
,Dec-25," £2,596.03 ", £534.40 ," £2,061.63 ",Mortgage,,,,,,,,,,,,,,,,,,
,Jan-26," £2,596.03 ", £536.38 ," £2,059.65 ",Mortgage,,,,,,,,,,,,,,,,,,
,Feb-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Mar-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Apr-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,May-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jun-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jul-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Aug-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Sep-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Oct-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Nov-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Dec-26,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jan-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Feb-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Mar-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Apr-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,May-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jun-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jul-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Aug-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Sep-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Oct-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Nov-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Dec-27,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jan-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Feb-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Mar-28,, £-   ,,,,,,,,,,,,,,,,,,,,
