Pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portfolio,,,,,,Ledger,,,,,,,Fidelity,,,,,,,,,,Funds Tracker,,,,,,,,,
,Accounts,Balance,Investment,Profit/Loss,% Interest,,Date,Account,Investment,Interest,Quantity,P&L,,Fund/Share,Quantity,Value / Share,Current Value,Purchase Price,Profit/Loss,Profit/Loss %,Category,,Reference,Stock,Price,,,,,,,,
,Fidelity," £45,087.04 "," £36,302.64 "," £8,784.40 ",24.20%,,31/01/2019,Aviva Pensions BlackRock US Equity Index Tracker S6," £6,119.79 "," £1,623.45 ",865.42,,,Fidelity Index US Fund P-Acc,"2,070.00",£5.41,"£11,205.32","£9,797.55","£1,407.77",14.4%,F&S,,Fidelity Index US Fund P-Acc,Fidelity Index US P Acc,£5.41,,,,,,,,
,HL," £27,334.37 "," £18,081.57 "," £9,252.80 ",51.17%,,31/01/2019,Aviva Pensions International Index Tracking S2," £6,043.29 "," £1,603.16 ",904.94,,,Fidelity Index Europe ex UK Fund P-Accumulation,"2,475.10",£2.83,"£7,002.31","£6,000.00","£1,002.31",16.7%,F&S,,Fidelity Index Europe ex UK Fund P-Accumulation,Fidelity Index Europe ex UK P Acc,£2.83,,,,,,,,
,LG," £12,327.74 "," £10,735.03 "," £1,592.71 ",14.84%,,30/06/2021, BlackRock Consensus 85 I Acc, £318.84 , £22.19 ,"1,159.56",,,Fidelity Funds - Global Technology,148.06,£10.75,"£1,591.65","£1,092.07",£499.57,45.7%,F&S,,Fidelity Funds - Global Technology,Fidelity Funds - Global Technology Fund W-Acc-GBP,£10.75,,,,,,,,
,OAB Prev," £9,559.95 "," £6,413.24 "," £3,146.71 ",49.07%,,31/07/2021, BlackRock Consensus 85 I Acc, £318.84 , £22.19 ,,,,HSBC FTSE All-World Index,"4,519.93",£3.75,"£16,935.27","£14,592.55","£2,342.72",16.1%,F&S,,,BlackRock Consensus 85 I Acc,£3.72,,,,,,,,
,Total," £94,309.10 "," £71,532.49 "," £22,776.62 ",31.84%,,31/08/2021, BlackRock Consensus 85 I Acc, £318.84 , £22.19 ,,,,PLC Russell 2000,0.00,56.79,£0.00,-£164.28,£164.28,0.0%,F&S,,,Aviva Pensions BlackRock US Equity Index Tracker S6,£10.97,,,,,,,,
,,,,,,,30/09/2021, BlackRock Consensus 85 I Acc, £318.84 , £22.19 ,,,,Fidelity Ishares Physical Silver ETC,107.00,£54.50,"£5,831.50","£2,463.76","£3,367.74",136.7%,F&S,,,Aviva Pensions International Index Tracking S2,£10.54,,,,,,,,
,,,,,,,31/10/2021, BlackRock Consensus 85 I Acc, £318.84 , £22.19 ,,,,,0.00,£0.00,£0.00,£0.00,£0.00,0.0%,F&S,,HSBC FTSE All-World Index,HSBC FTSE All-World Index,£3.75,,,,,,,,
,,,,,,,30/11/2021, BlackRock Consensus 85 I Acc, £318.84 , £22.19 ,,,,,0.00,£0.00,£0.00,£0.00,£0.00,0.0%,F&S,,,Ishares Physical Gold,£66.90,,,,,,,,
