Fixed Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portfolio,,,,,,Ledger,,,,,,,,,,,,,,,,,,,,,,
,Accounts,Balance,Investment,ROI,% ROI,,Date,Account,Investment,Interest,Shares,$/Share,,,,,,,,,,,,,,,,,
,XP,"R$368,050","R$246,064","R$121,985.97",49.6%,,05/07/2022, NuBank,"R$19,300",R$0,,,,,,,,,,,,,,,,,,,
,Inter,"R$73,605","R$63,712","R$9,892.69",15.5%,,15/07/2022, NuBank,"-R$2,104",R$0,,,,,,,,,,,,,,,,,,,
,Santander,"R$56,279","R$41,047","R$15,231.97",37.1%,,24/07/2022, NuBank,"R$4,000",R$200,,,,,,,,,,,,,,,,,,,
,Monzo,£0.00,-£256.29,£256.29,-100.0%,,24/07/2022, NuBank,"-R$20,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,Trading 212,£0.00,£0.00,£0.00,0.0%,,14/09/2022, Nubank,"R$20,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,Total,"R$497,933","R$349,001","R$148,932",42.67%,,15/09/2022, NuBank,"R$10,605.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,26/09/2022, NuBank,"-R$23,200.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,28/09/2022, NuBank,"R$16,845.50",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,30/09/2022, NuBank,"-R$16,800.00",R$85.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/10/2022, XP,R$100.00,R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,18/10/2022, NuBank,"-R$4,703.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,24/10/2022, NuBank,"R$3,579.50",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,24/10/2022, NuBank,"-R$5,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,24/10/2022, NuBank,R$0.00,R$7.00,,,,,,,,,,,,,,,,,,,
,,,,,,,26/10/2022, NuBank,"R$6,600.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,27/10/2022, NuBank,"-R$1,841.50",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,08/11/2022, NuBank,"R$2,500.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,08/11/2022, NuBank,-R$755.00,R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,21/11/2022, NuBank,"-R$8,106.50",R$31.00,,,,,,,,,,,,,,,,,,,
,,,,,,,25/11/2022, NuBank,"R$16,251.50",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,05/12/2022, NuBank,-R$368.19,R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,05/12/2022, NuBank,"-R$8,475.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,03/01/2022, NuBank,"R$23,460.87",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,03/01/2022, XP,"R$83,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,27/01/2023, NuBank,"-R$22,024.83",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,27/01/2023, XP,"R$170,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,27/01/2023, XP,R$0.00,R$239.31,,,,,,,,,,,,,,,,,,,
,,,,,,,01/02/2023, XP,"R$382,000.00",R$492.76,,,,,,,,,,,,,,,,,,,
,,,,,,,01/02/2023, Inter,"R$250,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,15/02/2023, NuBank,"-R$9,570.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,15/02/2023, NuBank,-R$518.00,R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/03/2023, XP,R$0.00,"R$5,888.00",,,,,,,,,,,,,,,,,,,
,,,,,,,01/03/2023, Inter,R$0.00,"R$2,007.00",,,,,,,,,,,,,,,,,,,
,,,,,,,06/03/2023, XP,"-R$9,543.57",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,15/03/2023, XP,"-R$9,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/04/2023, XP,R$0.00,"R$5,875.60",,,,,,,,,,,,,,,,,,,
,,,,,,,01/04/2023, Inter,R$0.00,"R$2,588.75",,,,,,,,,,,,,,,,,,,
,,,,,,,03/04/2023, XP,"-R$20,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,21/04/2023, XP,"-R$9,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/05/2023, XP,R$0.00,"R$5,341.18",,,,,,,,,,,,,,,,,,,
,,,,,,,01/05/2023, Inter,R$0.00,"R$2,044.00",,,,,,,,,,,,,,,,,,,
,,,,,,,15/05/2023, XP,"-R$9,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,18/05/2023, XP,"-R$21,764.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/06/2023, XP,R$0.00,"R$2,797.00",,,,,,,,,,,,,,,,,,,
,,,,,,,01/06/2023, Inter,R$0.00,"R$2,520.00",,,,,,,,,,,,,,,,,,,
,,,,,,,09/06/2023, Inter,"-R$249,999.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,09/06/2023, Santander,"R$250,756.64",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,18/05/2023, XP,"-R$6,383.70",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,15/06/2023, XP,"-R$4,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2023, Santander,R$0.00,"R$1,692.00",,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2023, XP,R$0.00,"R$11,512.00",,,,,,,,,,,,,,,,,,,
,,,,,,,21/07/2023, XP,"-R$18,100.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2023, XP,R$0.00,"R$5,434.00",,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2023, Santander,R$0.00,"R$2,389.00",,,,,,,,,,,,,,,,,,,
,,,,,,,01/08/2023, XP,"-R$13,500.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,04/08/2023, XP,"-R$175,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,07/08/2023, XP,"-R$3,300.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,15/08/2023, Inter,R$0.00,"-R$5,400.00",,,,,,,,,,,,,,,,,,,
,,,,,,,31/08/2023, XP,R$0.00,"R$4,175.00",,,,,,,,,,,,,,,,,,,
,,,,,,,31/08/2023, Santander,R$0.00,"R$2,578.00",,,,,,,,,,,,,,,,,,,
,,,,,,,01/09/2023, Inter,R$0.00,"-R$1,700.00",,,,,,,,,,,,,,,,,,,
,,,,,,,12/09/2023, Santander,"-R$171,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,15/09/2023, XP,"-R$11,409.92",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,29/09/2023, XP,R$0.00,"R$2,655.19",,,,,,,,,,,,,,,,,,,
,,,,,,,29/09/2023, Santander,R$0.00,"R$1,267.00",,,,,,,,,,,,,,,,,,,
,,,,,,,29/09/2023, Inter,R$0.00,"-R$1,400.00",,,,,,,,,,,,,,,,,,,
,,,,,,,02/10/2023, XP,"-R$23,578.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,31/10/2023, XP,R$0.00,"R$3,130.00",,,,,,,,,,,,,,,,,,,
,,,,,,,31/10/2023, Santander,R$0.00,R$776.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/11/2023, XP,"-R$19,930.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/12/2023, XP,R$0.00,"R$2,901.00",,,,,,,,,,,,,,,,,,,
,,,,,,,01/12/2023, Santander,R$0.00,R$771.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/12/2023, Inter,R$0.00,-R$350.75,,,,,,,,,,,,,,,,,,,
,,,,,,,18/12/2023, XP,"-R$5,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/01/2024, XP,R$0.00,"R$2,303.52",,,,,,,,,,,,,,,,,,,
,,,,,,,01/01/2024, Santander,R$0.00,R$734.00,,,,,,,,,,,,,,,,,,,
,,,,,,,03/01/2024, XP,"-R$6,600.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,16/01/2024, XP,"R$2,000.00",R$15.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/02/2024, Santander,R$0.00,R$771.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/02/2024, XP,"-R$3,900.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,23/02/2024, XP,"R$5,793.36",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/03/2024, XP,R$0.00,"R$2,252.00",,,,,,,,,,,,,,,,,,,
,,,,,,,01/03/2024, Santander,R$0.00,R$730.25,,,,,,,,,,,,,,,,,,,
,,,,,,,04/03/2024, Santander,"-R$8,000.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,04/03/2024, XP,"-R$5,700.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,20/03/2024, XP,"-R$12,396.38",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,20/03/2024, XP,R$0.00,"R$3,367.00",,,,,,,,,,,,,,,,,,,
,,,,,,,20/03/2024, Santander,R$0.00,R$638.00,,,,,,,,,,,,,,,,,,,
,,,,,,,04/04/2024, XP,"-R$9,600.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,22/04/2024, XP,"R$5,400.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/05/2024, XP,R$0.00,"R$2,187.00",,,,,,,,,,,,,,,,,,,
,,,,,,,01/05/2024, Santander,R$0.00,R$771.00,,,,,,,,,,,,,,,,,,,
,,,,,,,06/05/2024, XP,"-R$3,191.54",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,20/05/2024, Inter,"R$4,400.78",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,30/05/2024, Santander,R$0.00,R$672.72,,,,,,,,,,,,,,,,,,,
,,,,,,,30/05/2024, XP,R$0.00,"R$2,139.23",,,,,,,,,,,,,,,,,,,
,,,,,,,30/05/2024, Inter,-R$177.70,R$17.18,,,,,,,,,,,,,,,,,,,
,,,,,,,07/06/2024, XP,"R$1,107.05",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,07/06/2024, Inter,"R$23,567.94",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,28/06/2024, XP,R$0.00,"R$2,558.00",,,,,,,,,,,,,,,,,,,
,,,,,,,08/07/2024, XP,"-R$2,903.87",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,08/07/2024, Inter,"R$4,481.89",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,05/08/2024, XP,-R$945.92,R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,05/08/2024, Inter,"-R$1,222.49",R$0.00,,,,,,,,,,,,,,,,,,,
